gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.2861458333,PI-RR,1,9.19,1,Blue,Top,Evi,DetonatioN FocusMe,Gnar,Qiyana,Gangplank,Akali,Elise,Olaf,26.5333333333333,0,0,4,4,7,22,0,0,0,0,0,0,0,3.87998333333333,0,0.037688442211055,1.0929648241206,0,9.71756666666667,1,2,0,0,0,0,0,0,0,0,0,,0,13.5885666666667,0,0,1,10,0,23.7798166666667,0,1,11588,436.733668341708,0.312067433280371,0.206844383454889,11,0.414572864321608,0.105769230769231,4,0.150753768844221,4,6, , ,8407,184.059798994975,8300,-0.151447661469933,180,8,4,1,7.08542713567839,3078,3440,-362,4670,5468,-798,4530,5051,-521,76,90,-14,116,122,-6
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.2861458333,PI-RR,1,9.19,2,Blue,Jungle,Steal,DetonatioN FocusMe,Ekko,Qiyana,Gangplank,Akali,Elise,Olaf,26.5333333333333,0,1,4,5,7,22,0,0,0,0,0,0,0,3.87998333333333,0.037688442211055,0.263819095477387,1.0929648241206,1,9.71756666666667,1,2,1,2,0,0,0,1,0,0,0,,0,13.5885666666667,0,0,1,10,0,23.7798166666667,0,1,7925,298.680904522613,0.213422023537016,0.166862341490686,24,0.904522613065326,0.230769230769231,8,0.301507537688442,11,13, , ,7463,148.481909547739,7360,-0.296789123517501,35,96,76,0,4.93718592964824,3684,4055,-371,4912,6278,-1366,3679,3928,-249,60,64,-4,88,105,-17
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.2861458333,PI-RR,1,9.19,3,Blue,Middle,Ceros,DetonatioN FocusMe,Nocturne,Qiyana,Gangplank,Akali,Elise,Olaf,26.5333333333333,0,1,5,6,7,22,0,0,0,0,0,0,0,3.87998333333333,0.037688442211055,0.113065326633166,1.0929648241206,0,9.71756666666667,1,2,0,0,0,0,0,0,0,0,0,,0,13.5885666666667,0,0,1,10,0,23.7798166666667,0,1,7557,284.811557788945,0.203511701182237,0.210105630521884,13,0.489949748743719,0.125,1,0.037688442211055,6,7, , ,8484,186.961809045226,7700,-0.281729428172943,186,6,4,0,7.23618090452261,3926,3569,357,5487,6116,-629,4751,4533,218,88,85,3,131,150,-19
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.2861458333,PI-RR,1,9.19,4,Blue,ADC,Yutapon,DetonatioN FocusMe,Lucian,Qiyana,Gangplank,Akali,Elise,Olaf,26.5333333333333,0,3,4,1,7,22,1,0,0,0,0,0,0,3.87998333333333,0.113065326633166,0.414572864321608,1.0929648241206,0,9.71756666666667,1,2,0,0,0,0,0,0,0,0,0,,0,13.5885666666667,0,0,1,10,0,23.7798166666667,0,1,7369,277.726130653266,0.198448819109687,0.300742886669547,9,0.339195979899497,0.086538461538462,7,0.263819095477387,3,4, , ,10624,267.615075376884,10150,-0.215384615384615,219,20,20,0,9.00753768844221,3579,3969,-390,5313,7142,-1829,3526,3532,-6,87,76,11,119,134,-15
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.2861458333,PI-RR,1,9.19,5,Blue,Support,Gaeng,DetonatioN FocusMe,Thresh,Qiyana,Gangplank,Akali,Elise,Olaf,26.5333333333333,0,2,5,2,7,22,0,0,0,0,0,0,1,3.87998333333333,0.075376884422111,0,1.0929648241206,0,9.71756666666667,1,2,0,0,0,0,0,0,0,0,0,,0,13.5885666666667,0,0,1,10,0,23.7798166666667,0,1,2694,101.532663316583,0.07255002289069,0.115444757862994,47,1.7713567839196,0.451923076923077,8,0.301507537688442,13,14, , ,6249,102.728140703518,5450,-0.296875,12,2,2,0,0.527638190954774,2088,2394,-306,3163,4319,-1156,2731,2376,355,4,3,1,6,5,1
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.2861458333,PI-RR,1,9.19,6,Red,Top,Vizicsacsi,Splyce,Kennen,Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,26.5333333333333,1,1,1,12,22,7,0,0,0,0,0,0,0,3.87998333333333,0.037688442211055,0,1.0929648241206,0,9.71756666666667,2,1,0,0,0,0,0,0,0,0,1,,1,13.5885666666667,1,1,10,1,1,23.7798166666667,1,0,14478,545.653266331658,0.243147924224103,0.159670811397669,15,0.565326633165829,0.1875,8,0.301507537688442,7,9, , ,9759,235.014572864322,9660,0.151447661469933,182,0,0,0,6.85929648241206,3440,3078,362,5468,4670,798,5051,4530,521,90,76,14,122,116,6
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.2861458333,PI-RR,1,9.19,7,Red,Jungle,Xerxe,Splyce,Hecarim,Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,26.5333333333333,1,7,1,6,22,7,1,0,0,0,1,0,0,3.87998333333333,0.263819095477387,0.037688442211055,1.0929648241206,0,9.71756666666667,2,1,2,1,0,1,0,1,0,0,1,,1,13.5885666666667,1,1,10,1,1,23.7798166666667,1,0,7782,293.291457286432,0.130693268843208,0.199871970829834,9,0.339195979899497,0.1125,7,0.263819095477387,8,10, , ,11329,294.185427135678,9925,0.296789123517501,18,128,78,12,5.50251256281407,4055,3684,371,6278,4912,1366,3928,3679,249,64,60,4,105,88,17
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.2861458333,PI-RR,1,9.19,8,Red,Middle,Humanoid,Splyce,Ryze,Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,26.5333333333333,1,3,2,10,22,7,0,0,0,0,0,0,0,3.87998333333333,0.113065326633166,0.037688442211055,1.0929648241206,0,9.71756666666667,2,1,0,0,0,0,0,0,0,0,1,,1,13.5885666666667,1,1,10,1,1,23.7798166666667,1,0,12668,477.437185929648,0.212750235120247,0.215721982096401,15,0.565326633165829,0.1875,12,0.452261306532663,6,7, , ,11948,317.514572864322,10225,0.281729428172943,222,44,24,11,10.0251256281407,3569,3926,-357,6116,5487,629,4533,4751,-218,85,88,-3,150,131,19
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.2861458333,PI-RR,1,9.19,9,Red,ADC,Kobbe,Splyce,Xayah,Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,26.5333333333333,1,11,0,5,22,7,3,0,0,0,0,1,0,3.87998333333333,0.414572864321608,0.113065326633166,1.0929648241206,0,9.71756666666667,2,1,0,0,0,0,0,0,0,0,1,,1,13.5885666666667,1,1,10,1,1,23.7798166666667,1,0,20899,787.650753768844,0.350984146177616,0.300989409427044,11,0.414572864321608,0.1375,11,0.414572864321608,3,4, , ,15278,443.017085427136,12600,0.215384615384615,253,16,12,0,10.1381909547739,3969,3579,390,7142,5313,1829,3532,3526,6,76,87,-11,134,119,15
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.2861458333,PI-RR,1,9.19,10,Red,Support,Norskeren,Splyce,Rakan,Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,26.5333333333333,1,0,3,18,22,7,0,0,0,0,0,1,0,3.87998333333333,0,0.075376884422111,1.0929648241206,0,9.71756666666667,2,1,0,0,0,0,0,0,0,0,1,,1,13.5885666666667,1,1,10,1,1,23.7798166666667,1,0,3717,140.087939698492,0.062424425634825,0.123745826249053,30,1.13065326633166,0.375,13,0.489949748743719,11,11, , ,8356,182.137688442211,7350,0.296875,13,0,0,0,0.489949748743719,2394,2088,306,4319,3163,1156,2376,2731,-355,3,4,-1,5,6,-1
